story_id,character,source_text,situation,moral_conflict,broken_component,iks_principle,hope_message,distress_keywords,emotion_tags,distress_level,decision_taken,outcome,user_group,data_source
IKS_EXT_322,Pilot Aspirant,Life of A. P. J. Abdul Kalam,balancing personal growth with social duty,loyalty vs righteousness,Goals,shanti,"Through shanti, one can navigate balancing personal growth with social duty and restore inner balance.","anger, loyalty, righteousness",anger,low,Decided to apply shanti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_323,Scientist,Life of A. P. J. Abdul Kalam,feeling confused about career path,forgiveness vs anger,Agency,satya,"Through satya, one can navigate feeling confused about career path and restore inner balance.","fear, forgiveness, anger",fear,medium,Decided to apply satya to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_324,Student,Life of A. P. J. Abdul Kalam,managing family conflicts,loyalty vs righteousness,Agency,vairagya,"Through vairagya, one can navigate managing family conflicts and restore inner balance.","anxiety, loyalty, righteousness",anxiety,low,Decided to apply vairagya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_325,Kalam,Life of A. P. J. Abdul Kalam,facing a moral dilemma between family and duty,hard work vs luck,Pathways,dana,"Through dana, one can navigate facing a moral dilemma between family and duty and restore inner balance.","anxiety, hard work, luck",anxiety,medium,Decided to apply dana to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_326,Scientist,Life of A. P. J. Abdul Kalam,handling jealousy and envy,tradition vs innovation,Agency,daya,"Through daya, one can navigate handling jealousy and envy and restore inner balance.","sadness, tradition, innovation",sadness,low,Decided to apply daya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_327,Teacher,Life of A. P. J. Abdul Kalam,facing community isolation,tradition vs innovation,Pathways,satya,"Through satya, one can navigate facing community isolation and restore inner balance.","anger, tradition, innovation",anger,medium,Decided to apply satya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_328,Colleague,Life of A. P. J. Abdul Kalam,struggling with addiction or bad habits,forgiveness vs anger,Agency,viveka,"Through viveka, one can navigate struggling with addiction or bad habits and restore inner balance.","grief, forgiveness, anger",grief,low,Decided to apply viveka to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_329,Scientist,Life of A. P. J. Abdul Kalam,facing community isolation,forgiveness vs anger,Pathways,satya,"Through satya, one can navigate facing community isolation and restore inner balance.","helplessness, forgiveness, anger",helplessness,high,Decided to apply satya to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_330,Pilot Aspirant,Life of A. P. J. Abdul Kalam,facing social discrimination,truth vs convenience,Agency,satya,"Through satya, one can navigate facing social discrimination and restore inner balance.","grief, truth, convenience",grief,medium,Decided to apply satya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_331,Pilot Aspirant,Life of A. P. J. Abdul Kalam,overcoming traumatic past,truth vs convenience,Pathways,satya,"Through satya, one can navigate overcoming traumatic past and restore inner balance.","despair, truth, convenience",despair,high,Decided to apply satya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_332,Student,Life of A. P. J. Abdul Kalam,experiencing a crisis of faith,ambition vs contentment,Pathways,shanti,"Through shanti, one can navigate experiencing a crisis of faith and restore inner balance.","frustration, ambition, contentment",frustration,high,Decided to apply shanti to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_333,Kalam,Life of A. P. J. Abdul Kalam,seeking purpose in life,tradition vs innovation,Pathways,dana,"Through dana, one can navigate seeking purpose in life and restore inner balance.","sadness, tradition, innovation",sadness,high,Decided to apply dana to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_334,Scientist,Life of A. P. J. Abdul Kalam,handling success and ego,fear vs courage,Agency,karma yoga,"Through karma yoga, one can navigate handling success and ego and restore inner balance.","sadness, fear, courage",sadness,medium,Decided to apply karma yoga to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_335,Pilot Aspirant,Life of A. P. J. Abdul Kalam,struggling with self-doubt,fear vs courage,Agency,bhakti,"Through bhakti, one can navigate struggling with self-doubt and restore inner balance.","fear, fear, courage",fear,medium,Decided to apply bhakti to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_336,Colleague,Life of A. P. J. Abdul Kalam,facing a moral dilemma between family and duty,attachment vs detachment,Agency,satya,"Through satya, one can navigate facing a moral dilemma between family and duty and restore inner balance.","anxiety, attachment, detachment",anxiety,high,Decided to apply satya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_337,Pilot Aspirant,Life of A. P. J. Abdul Kalam,facing ethical corruption in workplace,hard work vs luck,Goals,dharma,"Through dharma, one can navigate facing ethical corruption in workplace and restore inner balance.","confusion, hard work, luck",confusion,high,Decided to apply dharma to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_338,Teacher,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,faith vs logic,Agency,ahimsa,"Through ahimsa, one can navigate dealing with anger and revenge and restore inner balance.","fear, faith, logic",fear,medium,Decided to apply ahimsa to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_339,Pilot Aspirant,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,integrity vs shortcut,Agency,daya,"Through daya, one can navigate dealing with anger and revenge and restore inner balance.","helplessness, integrity, shortcut",helplessness,low,Decided to apply daya to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_340,Scientist,Life of A. P. J. Abdul Kalam,balancing personal growth with social duty,truth vs convenience,Agency,tapas,"Through tapas, one can navigate balancing personal growth with social duty and restore inner balance.","helplessness, truth, convenience",helplessness,low,Decided to apply tapas to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_341,Pilot Aspirant,Life of A. P. J. Abdul Kalam,overcoming fear of death,patience vs impulse,Pathways,dana,"Through dana, one can navigate overcoming fear of death and restore inner balance.","fear, patience, impulse",fear,low,Decided to apply dana to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_342,Teacher,Life of A. P. J. Abdul Kalam,coping with aging,faith vs logic,Pathways,ahimsa,"Through ahimsa, one can navigate coping with aging and restore inner balance.","despair, faith, logic",despair,medium,Decided to apply ahimsa to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_343,Kalam,Life of A. P. J. Abdul Kalam,handling jealousy and envy,attachment vs detachment,Goals,bhakti,"Through bhakti, one can navigate handling jealousy and envy and restore inner balance.","frustration, attachment, detachment",frustration,medium,Decided to apply bhakti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_344,Teacher,Life of A. P. J. Abdul Kalam,experiencing a crisis of faith,faith vs logic,Pathways,dharma,"Through dharma, one can navigate experiencing a crisis of faith and restore inner balance.","anxiety, faith, logic",anxiety,high,Decided to apply dharma to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_345,Student,Life of A. P. J. Abdul Kalam,feeling confused about career path,integrity vs shortcut,Agency,satya,"Through satya, one can navigate feeling confused about career path and restore inner balance.","moral tension, integrity, shortcut",moral tension,medium,Decided to apply satya to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_346,Teacher,Life of A. P. J. Abdul Kalam,struggling with lack of resources,patience vs impulse,Pathways,vairagya,"Through vairagya, one can navigate struggling with lack of resources and restore inner balance.","helplessness, patience, impulse",helplessness,medium,Decided to apply vairagya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_347,Scientist,Life of A. P. J. Abdul Kalam,facing community isolation,ambition vs contentment,Pathways,daya,"Through daya, one can navigate facing community isolation and restore inner balance.","grief, ambition, contentment",grief,high,Decided to apply daya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_348,Pilot Aspirant,Life of A. P. J. Abdul Kalam,dealing with unrequited efforts,truth vs convenience,Goals,ahimsa,"Through ahimsa, one can navigate dealing with unrequited efforts and restore inner balance.","anger, truth, convenience",anger,low,Decided to apply ahimsa to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_349,Kalam,Life of A. P. J. Abdul Kalam,coping with aging,mercy vs justice,Agency,bhakti,"Through bhakti, one can navigate coping with aging and restore inner balance.","despair, mercy, justice",despair,medium,Decided to apply bhakti to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_350,Teacher,Life of A. P. J. Abdul Kalam,facing injustice from authority,attachment vs detachment,Pathways,viveka,"Through viveka, one can navigate facing injustice from authority and restore inner balance.","moral tension, attachment, detachment",moral tension,medium,Decided to apply viveka to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_351,Scientist,Life of A. P. J. Abdul Kalam,handling jealousy and envy,integrity vs shortcut,Agency,shanti,"Through shanti, one can navigate handling jealousy and envy and restore inner balance.","anger, integrity, shortcut",anger,high,Decided to apply shanti to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_352,Pilot Aspirant,Life of A. P. J. Abdul Kalam,facing exhaustion and burnout,tradition vs innovation,Goals,satya,"Through satya, one can navigate facing exhaustion and burnout and restore inner balance.","anxiety, tradition, innovation",anxiety,high,Decided to apply satya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_353,Student,Life of A. P. J. Abdul Kalam,handling jealousy and envy,mercy vs justice,Pathways,kshama,"Through kshama, one can navigate handling jealousy and envy and restore inner balance.","fear, mercy, justice",fear,low,Decided to apply kshama to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_354,Pilot Aspirant,Life of A. P. J. Abdul Kalam,handling jealousy and envy,mercy vs justice,Pathways,viveka,"Through viveka, one can navigate handling jealousy and envy and restore inner balance.","sadness, mercy, justice",sadness,medium,Decided to apply viveka to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_355,Kalam,Life of A. P. J. Abdul Kalam,experiencing a crisis of faith,faith vs logic,Agency,bhakti,"Through bhakti, one can navigate experiencing a crisis of faith and restore inner balance.","helplessness, faith, logic",helplessness,medium,Decided to apply bhakti to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_356,Pilot Aspirant,Life of A. P. J. Abdul Kalam,facing social discrimination,integrity vs shortcut,Agency,satya,"Through satya, one can navigate facing social discrimination and restore inner balance.","sadness, integrity, shortcut",sadness,medium,Decided to apply satya to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_357,Scientist,Life of A. P. J. Abdul Kalam,facing betrayal by a friend,tradition vs innovation,Agency,shanti,"Through shanti, one can navigate facing betrayal by a friend and restore inner balance.","despair, tradition, innovation",despair,high,Decided to apply shanti to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_358,Student,Life of A. P. J. Abdul Kalam,facing social discrimination,loyalty vs righteousness,Goals,daya,"Through daya, one can navigate facing social discrimination and restore inner balance.","moral tension, loyalty, righteousness",moral tension,medium,Decided to apply daya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_359,Colleague,Life of A. P. J. Abdul Kalam,facing community isolation,faith vs logic,Pathways,satya,"Through satya, one can navigate facing community isolation and restore inner balance.","sadness, faith, logic",sadness,medium,Decided to apply satya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_360,Colleague,Life of A. P. J. Abdul Kalam,coping with aging,fear vs courage,Agency,ahimsa,"Through ahimsa, one can navigate coping with aging and restore inner balance.","sadness, fear, courage",sadness,low,Decided to apply ahimsa to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_361,Kalam,Life of A. P. J. Abdul Kalam,dealing with unrequited efforts,faith vs logic,Goals,shanti,"Through shanti, one can navigate dealing with unrequited efforts and restore inner balance.","grief, faith, logic",grief,medium,Decided to apply shanti to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_362,Teacher,Life of A. P. J. Abdul Kalam,facing a loss of a loved one,patience vs impulse,Goals,satya,"Through satya, one can navigate facing a loss of a loved one and restore inner balance.","despair, patience, impulse",despair,medium,Decided to apply satya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_363,Kalam,Life of A. P. J. Abdul Kalam,struggling with poverty,truth vs convenience,Pathways,vairagya,"Through vairagya, one can navigate struggling with poverty and restore inner balance.","confusion, truth, convenience",confusion,medium,Decided to apply vairagya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_364,Scientist,Life of A. P. J. Abdul Kalam,managing family conflicts,hard work vs luck,Goals,bhakti,"Through bhakti, one can navigate managing family conflicts and restore inner balance.","helplessness, hard work, luck",helplessness,high,Decided to apply bhakti to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_365,Kalam,Life of A. P. J. Abdul Kalam,struggling with poverty,patience vs impulse,Pathways,shanti,"Through shanti, one can navigate struggling with poverty and restore inner balance.","confusion, patience, impulse",confusion,low,Decided to apply shanti to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_366,Kalam,Life of A. P. J. Abdul Kalam,experiencing a crisis of faith,patience vs impulse,Goals,dana,"Through dana, one can navigate experiencing a crisis of faith and restore inner balance.","grief, patience, impulse",grief,low,Decided to apply dana to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_367,Pilot Aspirant,Life of A. P. J. Abdul Kalam,feeling lonely in a crowd,attachment vs detachment,Pathways,daya,"Through daya, one can navigate feeling lonely in a crowd and restore inner balance.","sadness, attachment, detachment",sadness,low,Decided to apply daya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_368,Teacher,Life of A. P. J. Abdul Kalam,facing exhaustion and burnout,self-interest vs social good,Pathways,satya,"Through satya, one can navigate facing exhaustion and burnout and restore inner balance.","despair, self-interest, social good",despair,low,Decided to apply satya to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_369,Teacher,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,mercy vs justice,Agency,dana,"Through dana, one can navigate dealing with anger and revenge and restore inner balance.","grief, mercy, justice",grief,medium,Decided to apply dana to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_370,Scientist,Life of A. P. J. Abdul Kalam,handling success and ego,self-interest vs social good,Goals,dana,"Through dana, one can navigate handling success and ego and restore inner balance.","moral tension, self-interest, social good",moral tension,high,Decided to apply dana to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_371,Scientist,Life of A. P. J. Abdul Kalam,dealing with unrequited efforts,truth vs convenience,Pathways,bhakti,"Through bhakti, one can navigate dealing with unrequited efforts and restore inner balance.","grief, truth, convenience",grief,medium,Decided to apply bhakti to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_372,Kalam,Life of A. P. J. Abdul Kalam,facing ethical corruption in workplace,hard work vs luck,Goals,bhakti,"Through bhakti, one can navigate facing ethical corruption in workplace and restore inner balance.","moral tension, hard work, luck",moral tension,high,Decided to apply bhakti to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_373,Student,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,tradition vs innovation,Pathways,daya,"Through daya, one can navigate dealing with anger and revenge and restore inner balance.","sadness, tradition, innovation",sadness,low,Decided to apply daya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_374,Colleague,Life of A. P. J. Abdul Kalam,facing injustice from authority,duty vs personal gain,Goals,dharma,"Through dharma, one can navigate facing injustice from authority and restore inner balance.","anger, duty, personal gain",anger,low,Decided to apply dharma to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_375,Kalam,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,truth vs convenience,Agency,vairagya,"Through vairagya, one can navigate dealing with anger and revenge and restore inner balance.","helplessness, truth, convenience",helplessness,high,Decided to apply vairagya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_376,Pilot Aspirant,Life of A. P. J. Abdul Kalam,feeling confused about career path,non-violence vs self-defense,Goals,shanti,"Through shanti, one can navigate feeling confused about career path and restore inner balance.","frustration, non-violence, self-defense",frustration,high,Decided to apply shanti to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_377,Teacher,Life of A. P. J. Abdul Kalam,struggling with self-doubt,loyalty vs righteousness,Agency,kshama,"Through kshama, one can navigate struggling with self-doubt and restore inner balance.","despair, loyalty, righteousness",despair,high,Decided to apply kshama to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_378,Kalam,Life of A. P. J. Abdul Kalam,overcoming traumatic past,tradition vs innovation,Agency,karma yoga,"Through karma yoga, one can navigate overcoming traumatic past and restore inner balance.","grief, tradition, innovation",grief,high,Decided to apply karma yoga to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_379,Teacher,Life of A. P. J. Abdul Kalam,dealing with financial debt,fear vs courage,Agency,daya,"Through daya, one can navigate dealing with financial debt and restore inner balance.","fear, fear, courage",fear,high,Decided to apply daya to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_380,Colleague,Life of A. P. J. Abdul Kalam,overcoming fear of death,non-violence vs self-defense,Agency,dharma,"Through dharma, one can navigate overcoming fear of death and restore inner balance.","helplessness, non-violence, self-defense",helplessness,low,Decided to apply dharma to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_381,Pilot Aspirant,Life of A. P. J. Abdul Kalam,feeling confused about career path,loyalty vs righteousness,Pathways,shanti,"Through shanti, one can navigate feeling confused about career path and restore inner balance.","helplessness, loyalty, righteousness",helplessness,low,Decided to apply shanti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_382,Kalam,Life of A. P. J. Abdul Kalam,feeling confused about career path,attachment vs detachment,Agency,bhakti,"Through bhakti, one can navigate feeling confused about career path and restore inner balance.","confusion, attachment, detachment",confusion,medium,Decided to apply bhakti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_383,Kalam,Life of A. P. J. Abdul Kalam,facing ethical corruption in workplace,attachment vs detachment,Pathways,dana,"Through dana, one can navigate facing ethical corruption in workplace and restore inner balance.","sadness, attachment, detachment",sadness,low,Decided to apply dana to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_384,Kalam,Life of A. P. J. Abdul Kalam,balancing personal growth with social duty,integrity vs shortcut,Pathways,tapas,"Through tapas, one can navigate balancing personal growth with social duty and restore inner balance.","frustration, integrity, shortcut",frustration,high,Decided to apply tapas to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_385,Student,Life of A. P. J. Abdul Kalam,facing a loss of a loved one,patience vs impulse,Agency,dana,"Through dana, one can navigate facing a loss of a loved one and restore inner balance.","helplessness, patience, impulse",helplessness,low,Decided to apply dana to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_386,Pilot Aspirant,Life of A. P. J. Abdul Kalam,balancing personal growth with social duty,fear vs courage,Pathways,tapas,"Through tapas, one can navigate balancing personal growth with social duty and restore inner balance.","anger, fear, courage",anger,low,Decided to apply tapas to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_387,Scientist,Life of A. P. J. Abdul Kalam,dealing with financial debt,duty vs personal gain,Pathways,bhakti,"Through bhakti, one can navigate dealing with financial debt and restore inner balance.","helplessness, duty, personal gain",helplessness,medium,Decided to apply bhakti to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_388,Teacher,Life of A. P. J. Abdul Kalam,dealing with professional failure,faith vs logic,Pathways,viveka,"Through viveka, one can navigate dealing with professional failure and restore inner balance.","moral tension, faith, logic",moral tension,low,Decided to apply viveka to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_389,Colleague,Life of A. P. J. Abdul Kalam,handling success and ego,self-interest vs social good,Goals,bhakti,"Through bhakti, one can navigate handling success and ego and restore inner balance.","confusion, self-interest, social good",confusion,high,Decided to apply bhakti to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_390,Scientist,Life of A. P. J. Abdul Kalam,dealing with public humiliation,integrity vs shortcut,Pathways,kshama,"Through kshama, one can navigate dealing with public humiliation and restore inner balance.","despair, integrity, shortcut",despair,medium,Decided to apply kshama to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_391,Pilot Aspirant,Life of A. P. J. Abdul Kalam,dealing with public humiliation,forgiveness vs anger,Agency,satya,"Through satya, one can navigate dealing with public humiliation and restore inner balance.","helplessness, forgiveness, anger",helplessness,low,Decided to apply satya to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_392,Kalam,Life of A. P. J. Abdul Kalam,dealing with anger and revenge,hard work vs luck,Goals,ahimsa,"Through ahimsa, one can navigate dealing with anger and revenge and restore inner balance.","sadness, hard work, luck",sadness,medium,Decided to apply ahimsa to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_393,Colleague,Life of A. P. J. Abdul Kalam,seeking purpose in life,non-violence vs self-defense,Goals,karma yoga,"Through karma yoga, one can navigate seeking purpose in life and restore inner balance.","anxiety, non-violence, self-defense",anxiety,low,Decided to apply karma yoga to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_394,Pilot Aspirant,Life of A. P. J. Abdul Kalam,feeling confused about career path,faith vs logic,Agency,viveka,"Through viveka, one can navigate feeling confused about career path and restore inner balance.","moral tension, faith, logic",moral tension,medium,Decided to apply viveka to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_395,Kalam,Life of A. P. J. Abdul Kalam,seeking purpose in life,mercy vs justice,Goals,dana,"Through dana, one can navigate seeking purpose in life and restore inner balance.","confusion, mercy, justice",confusion,high,Decided to apply dana to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_396,Pilot Aspirant,Life of A. P. J. Abdul Kalam,overcoming traumatic past,fear vs courage,Pathways,ahimsa,"Through ahimsa, one can navigate overcoming traumatic past and restore inner balance.","frustration, fear, courage",frustration,high,Decided to apply ahimsa to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_397,Kalam,Life of A. P. J. Abdul Kalam,dealing with unrequited efforts,fear vs courage,Pathways,dana,"Through dana, one can navigate dealing with unrequited efforts and restore inner balance.","moral tension, fear, courage",moral tension,medium,Decided to apply dana to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_398,Scientist,Life of A. P. J. Abdul Kalam,overcoming traumatic past,faith vs logic,Agency,satya,"Through satya, one can navigate overcoming traumatic past and restore inner balance.","moral tension, faith, logic",moral tension,low,Decided to apply satya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_399,Kalam,Life of A. P. J. Abdul Kalam,struggling with lack of resources,fear vs courage,Goals,shanti,"Through shanti, one can navigate struggling with lack of resources and restore inner balance.","moral tension, fear, courage",moral tension,medium,Decided to apply shanti to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_400,Colleague,Life of A. P. J. Abdul Kalam,overcoming procrastination,non-violence vs self-defense,Goals,karma yoga,"Through karma yoga, one can navigate overcoming procrastination and restore inner balance.","despair, non-violence, self-defense",despair,low,Decided to apply karma yoga to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_401,Narendra,Life of Swami Vivekananda,experiencing a crisis of faith,non-violence vs self-defense,Goals,daya,"Through daya, one can navigate experiencing a crisis of faith and restore inner balance.","fear, non-violence, self-defense",fear,high,Decided to apply daya to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_402,Vivekananda,Life of Swami Vivekananda,dealing with public humiliation,patience vs impulse,Agency,ahimsa,"Through ahimsa, one can navigate dealing with public humiliation and restore inner balance.","sadness, patience, impulse",sadness,high,Decided to apply ahimsa to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_403,Youth,Life of Swami Vivekananda,facing exhaustion and burnout,forgiveness vs anger,Pathways,bhakti,"Through bhakti, one can navigate facing exhaustion and burnout and restore inner balance.","grief, forgiveness, anger",grief,low,Decided to apply bhakti to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
